Communication Exchange Network,,,,,,,,
,density,avgpathlength,modularity,betcentralization,degcentralization,size,edgecount,
all,0.08,2.34,0.12,0.11,0.25,102.00,816.00,
exec,0.74,1.26,0.00,0.15,0.31,7.00,31.00,
strat,0.22,1.42,0.08,0.17,0.48,13.00,35.00,
op,0.49,1.43,0.00,0.19,0.47,15.00,103.00,
infra,0.03,1.00,0.00,0.00,0.48,30.00,29.00,
engin,0.23,1.74,0.02,0.08,0.33,37.00,312.00,
,,,,,,,,
Information Exchange Network,,,,,,,,
,density,avgpathlength,modularity,betcentralization,degcentralization,size,edgecount,
all,0.04,2.84,0.18,0.12,0.18,102.00,413.00,
exec,0.60,1.33,0.00,0.21,0.28,7.00,25.00,
strat,0.10,1.59,0.13,0.06,0.30,13.00,15.00,
op,0.30,1.65,0.00,0.53,0.67,15.00,63.00,
infra,0.02,1.00,0.00,0.00,0.23,30.00,14.00,
engin,0.12,2.27,0.26,0.13,0.30,37.00,165.00,
